,0
0,T1
1,T1
2,T1
3,T1
4,T1
5,T2
6,T2
7,T1
8,T1
9,T1
10,T1
11,T2
12,T1
13,T1
14,T1
15,T1
16,T1
17,T1
18,T1
19,T1
20,T1
21,T1
22,T2
23,T2
24,T1
25,T1
26,T2
27,T1
28,T1
29,T1
30,T1
31,T1
32,T1
33,T1
34,T1
35,T2
36,T2
37,T2
38,T2
39,T1
40,T1
41,T1
42,T1
43,T1
44,T1
45,T1
46,T1
47,T1
48,T1
49,T1
50,T1
51,T1
52,T1
53,T2
54,T2
55,T1
56,T1
57,T1
58,T1
59,T2
60,T2
61,T1
62,T1
63,T1
64,T1
65,T1
66,T1
67,T2
68,T2
69,T2
70,T1
71,T1
72,T1
73,T1
74,T1
75,T1
76,T1
77,T1
78,T1
79,T2
80,T1
81,T1
82,T1
83,T1
84,T1
85,T1
86,T2
87,T1
88,T1
89,T1
90,T1
91,T1
92,T1
93,T1
94,T1
95,T1
96,T1
97,T1
98,T1
99,T1
100,T1
101,T1
102,T1
103,T1
104,T1
105,T1
106,T2
107,T1
108,T1
109,T1
110,T1
111,T1
112,T1
113,T1
114,T2
115,T2
116,T2
117,T1
118,T1
119,T1
120,T1
121,T1
122,T1
123,T1
124,T1
125,T1
126,T1
127,T1
128,T1
129,T2
130,T2
131,T1
132,T2
133,T1
134,T1
135,T1
136,T1
137,T1
138,T1
139,T1
140,T1
141,T1
142,T1
143,T1
144,T1
145,T1
146,T1
147,T1
148,T1
149,T1
150,T1
151,T2
152,T1
153,T1
154,T1
155,T1
156,T1
157,T2
158,T2
159,T2
160,T1
161,T1
162,T1
163,T1
164,T1
165,T1
166,T1
167,T1
168,T2
169,T2
170,T1
171,T1
172,T1
173,T1
174,T1
175,T1
176,T1
177,T1
178,T2
179,T2
180,T2
181,T2
182,T1
183,T1
184,T1
185,T1
186,T1
187,T1
188,T1
189,T1
190,T1
191,T1
192,T2
193,T1
194,T1
195,T2
196,T2
197,T2
198,T1
199,T1
200,T1
201,T2
202,T1
203,T1
204,T1
205,T1
206,T1
207,T1
208,T1
209,T1
210,T1
211,T1
212,T2
213,T1
214,T1
215,T1
216,T1
217,T2
218,T1
219,T1
220,T1
221,T1
222,T1
223,T1
224,T1
225,T1
226,T1
227,T1
228,T2
229,T1
230,T1
231,T1
232,T1
233,T1
234,T2
235,T1
236,T2
237,T2
238,T2
239,T2
240,T1
241,T1
242,T1
243,T1
244,T1
245,T1
246,T1
247,T1
248,T1
249,T1
250,T1
251,T2
252,T1
253,T1
254,T1
255,T1
256,T1
257,T1
258,T1
259,T1
260,T1
261,T1
262,T1
263,T1
264,T1
265,T1
266,T1
267,T1
268,T1
269,T1
270,T1
271,T1
272,T1
273,T1
274,T1
275,T2
276,T2
277,T1
278,T1
279,T1
280,T1
281,T1
282,T2
283,T1
284,T1
285,T1
286,T1
287,T1
288,T1
289,T1
290,T1
291,T1
292,T1
293,T2
294,T2
295,T2
296,T1
297,T1
298,T1
299,T1
300,T1
301,T1
302,T1
303,T1
304,T1
305,T1
306,T1
307,T1
308,T1
309,T1
310,T1
311,T1
312,T1
313,T1
314,T2
315,T1
316,T1
317,T1
318,T1
319,T1
320,T2
321,T2
322,T2
323,T1
324,T1
325,T1
326,T1
327,T1
328,T1
329,T1
330,T1
331,T1
332,T1
333,T1
334,T1
335,T2
336,T1
337,T1
338,T1
339,T1
340,T1
341,T1
342,T1
343,T1
344,T1
345,T1
346,T1
347,T1
348,T1
349,T1
350,T1
351,T2
352,T2
353,T1
354,T1
355,T1
356,T1
357,T1
358,T1
359,T1
360,T1
361,T1
362,T1
363,T1
364,T1
365,T1
366,T2
367,T1
368,T1
369,T1
370,T2
371,T1
372,T1
373,T1
374,T1
375,T1
376,T1
377,T1
378,T1
379,T1
380,T1
381,T1
382,T1
383,T2
384,T1
385,T1
386,T1
387,T1
388,T2
389,T1
390,T1
391,T1
392,T1
393,T1
394,T1
395,T1
396,T1
397,T1
398,T1
399,T1
400,T2
401,T1
402,T1
403,T1
404,T1
405,T1
406,T1
407,T1
408,T1
409,T1
410,T1
411,T1
412,T1
413,T1
414,T1
415,T1
416,T1
417,T1
418,T1
419,T2
420,T1
421,T1
422,T1
423,T1
424,T1
425,T1
426,T1
427,T1
428,T1
429,T1
430,T1
431,T1
432,T1
433,T2
434,T2
435,T1
436,T1
437,T1
438,T1
439,T1
440,T1
441,T1
442,T1
443,T1
444,T1
445,T1
446,T1
447,T1
448,T1
449,T2
450,T1
451,T1
452,T1
453,T2
454,T2
455,T1
456,T1
457,T1
458,T1
459,T1
460,T1
461,T1
462,T1
463,T1
464,T1
465,T1
466,T1
467,T1
468,T1
469,T1
470,T1
471,T1
472,T1
473,T1
474,T1
475,T2
476,T1
477,T1
478,T1
479,T1
480,T2
481,T1
482,T1
483,T1
484,T1
485,T1
486,T2
487,T2
488,T2
489,T1
490,T1
491,T1
492,T2
493,T1
494,T1
495,T2
496,T2
497,T1
498,T1
499,T1
500,T1
501,T1
502,T1
503,T1
504,T1
505,T1
506,T1
507,T1
508,T2
509,T2
510,T1
511,T1
512,T1
513,T1
514,T2
515,T2
516,T1
517,T1
518,T1
519,T1
520,T1
521,T1
522,T1
523,T1
524,T2
525,T1
526,T1
527,T1
528,T2
529,T1
530,T1
531,T1
532,T1
533,T1
534,T1
535,T1
536,T1
537,T1
538,T1
539,T1
540,T1
541,T1
542,T1
543,T1
544,T1
545,T1
546,T1
547,T1
548,T1
549,T1
550,T1
551,T1
552,T1
553,T1
554,T2
555,T2
556,T1
557,T1
558,T1
559,T1
560,T1
561,T1
562,T1
563,T1
564,T1
565,T1
566,T1
567,T2
568,T2
569,T1
570,T1
571,T1
572,T1
573,T2
574,T2
575,T2
576,T1
577,T1
578,T1
579,T1
580,T1
581,T1
582,T1
583,T1
584,T1
585,T1
586,T1
587,T1
588,T2
589,T1
590,T1
591,T1
592,T2
593,T2
594,T2
595,T2
596,T1
597,T1
598,T1
599,T1
600,T1
601,T1
602,T1
603,T1
604,T1
605,T1
606,T1
607,T1
608,T1
609,T1
610,T1
611,T1
612,T2
613,T1
614,T1
615,T2
616,T1
617,T1
618,T1
619,T1
620,T1
621,T1
622,T1
623,T2
624,T1
625,T1
626,T1
627,T1
628,T1
629,T1
630,T2
631,T2
632,T2
633,T1
634,T1
635,T1
636,T1
637,T1
638,T1
639,T1
640,T1
641,T1
642,T1
643,T1
644,T1
645,T1
646,T1
647,T1
648,T1
649,T2
650,T2
651,T1
652,T2
653,T2
654,T2
655,T1
656,T1
657,T1
658,T1
659,T1
660,T1
661,T1
662,T1
663,T1
664,T2
665,T1
666,T1
667,T1
668,T1
669,T1
670,T1
671,T1
672,T2
673,T2
674,T1
675,T1
676,T1
677,T1
678,T1
679,T1
680,T1
681,T1
682,T1
683,T1
684,T1
685,T1
686,T1
687,T1
688,T1
689,T1
690,T1
691,T1
692,T1
693,T1
694,T2
695,T1
696,T1
697,T1
698,T2
699,T2
700,T2
701,T1
702,T1
703,T1
704,T1
705,T1
706,T1
707,T1
708,T1
709,T2
710,T2
711,T2
712,T2
713,T1
714,T1
715,T1
716,T1
717,T1
718,T1
719,T1
720,T1
721,T1
722,T1
723,T1
724,T1
725,T1
726,T1
727,T1
728,T1
729,T1
730,T1
731,T1
732,T1
733,T1
734,T1
735,T1
736,T1
737,T1
738,T1
739,T1
740,T1
741,T1
742,T1
743,T1
744,T1
